name,club_from,club_to
Eliaquim Mangala,Man City,Valencia
Cucho Hernández,Watford,RCD Mallorca
Dalbert,Inter,Fiorentina
Cristiano Biraghi,Fiorentina,Inter
Youssef Aït Bennasser,Monaco,G. Bordeaux
Oliver Burke,West Brom,Alavés
Kenedy,Chelsea,Getafe
Javi Montero,Atlético Madrid,Dep. La Coruña
Radamel Falcao,Monaco,Galatasaray
Mario Mandzukic,Juventus,Al-Duhail SC
Antonin Barak,Udinese Calcio,Lecce
Kyle Walker-Peters,Tottenham,Southampton
Marcos Rojo,Man Utd,Estudiantes
Bryan Gil,Sevilla FC,CD Leganés
Cédric Soares,Southampton,Arsenal
Adama Soumaoro,LOSC Lille,Genoa
Sofyan Amrabat,Fiorentina,Hellas Verona
Jürgen Locadia,Brighton,Cincinnati
Uriel Antuna,Man City U23,Chivas
Giovanni Di Lorenzo,Empoli,SSC Napoli
Fernando,Spartak Moscow,BJ Guoan
André Carrillo,Benfica,Al-Hilal SFC
Mateus Uribe,América,FC Porto
Djibril Sow,BSC Young Boys,E. Frankfurt
Alberto Cerri,Juventus,Cagliari Calcio
Anwar El Ghazi,LOSC Lille,Aston Villa
Tomas Kalas,Chelsea,Bristol City
Youssouf Koné,LOSC Lille,Olympique Lyon
Flavien Tait,Angers SCO,Rennes
Marcus Thuram,Guingamp,Bor. M'gladbach
Vincent Janssen,Tottenham,Monterrey
Nicolás López,Internacional,Tigres UANL
Marin Pongracic,RB Salzburg,VfL Wolfsburg
Chicharito,Sevilla FC,Los Angeles
Edouard Mendy,Stade Reims,Rennes
Takehiro Tomiyasu,Sint-Truiden,Bologna
Vincenzo Grifo,TSG Hoffenheim,SC Freiburg
Mbaye Diagne,Galatasaray,Club Brugge
Sebastian Rudy,FC Schalke 04,TSG Hoffenheim
Milan Badelj,Lazio,Fiorentina
Fedor Smolov,Loko Moscow,Celta de Vigo
Alberto Moreno,Liverpool,Villarreal
Jonathan Calleri,Maldonado,Espanyol
Jonathan Viera,BJ Guoan,UD Las Palmas
Panagiotis Retsos,B. Leverkusen,Sheff Utd
Filip Benkovic,Leicester,Bristol City
Kenneth Zohore,Cardiff,West Brom
Bruno Jordão,Lazio,Wolves
Arvin Appiah,Nottm Forest,UD Almería
Tom Heaton,Burnley,Aston Villa
Alan Pulido,Chivas,Kansas City
Rade Krunic,Empoli,AC Milan
Dominik Kohr,B. Leverkusen,E. Frankfurt
Ignacio Pussetto,Udinese Calcio,Watford
Walace,Hannover 96,Udinese Calcio
Victor Moses,Chelsea,Inter
Badou Ndiaye,Stoke City,Trabzonspor
Ramires,JS Suning,Palmeiras
Riccardo Saponara,Fiorentina,Genoa
Yannick Cotter,FC Sion U21,Juventus U19
Sebastiaan Bornauw,RSC Anderlecht,1. FC Köln
Krystian Bielik,Arsenal,Derby
Alejandro Marqués,Barcelona B,Juventus U23
Matías Pellegrini,Estudiantes,Miami
David Okereke,Spezia Calcio,Club Brugge
Luan Cândido,Palmeiras,RB Leipzig
Nicola Sansone,Villarreal,Bologna
Roberto Soriano,Villarreal,Bologna
Juanmi,Real Sociedad,Real Betis
Jean Lucas,Flamengo,Olympique Lyon
Christopher Jullien,Toulouse,Celtic
Joseph Aidoo,KRC Genk,Celta de Vigo
Björn Engels,Stade Reims,Aston Villa
Ivan Sunjic,Dinamo Zagreb,Birmingham
Wesley Saïd,Dijon,Toulouse
Han-Noah Massengo,Monaco B,Bristol City
Ruben Aguilar,Montpellier,Monaco
Jerry St. Juste,Feyenoord,1.FSV Mainz 05
Silas,Paris FC,VfB Stuttgart
Ramy Bensebaini,Rennes,Bor. M'gladbach
Michaël Cuisance,Bor. M'gladbach,Bayern Munich
Vyacheslav Karavaev,Vitesse,Zenit S-Pb
Ludovic Blas,Guingamp,FC Nantes
Pablo Marí,Flamengo,Arsenal
Erick Cabaco,Levante,Getafe
Edimilson Fernandes,West Ham,1.FSV Mainz 05
Simon Mignolet,Liverpool,Club Brugge
Michel Vlap,Heerenveen,RSC Anderlecht
Niclas Füllkrug,Hannover 96,Werder Bremen
Andreas Skov Olsen,Nordsjaelland,Bologna
Valentin Rosier,Dijon,Sporting CP
Martin Braithwaite,Middlesbrough,CD Leganés
Laurent Koscielny,Arsenal,G. Bordeaux
Luan,Grêmio,Corinthians
Alexander Djiku,SM Caen,R. Strasbourg
Anthony Knockaert,Brighton,Fulham
Charlie Austin,Southampton,West Brom
Kevin Danso,FC Augsburg,Southampton
Paulo Díaz,Al-Ahli SFC,River Plate
Jordan Ayew,Swansea,Crystal Palace
Gianluca Caprari,Sampdoria,Parma
Marius Wolf,Bor. Dortmund,Hertha BSC
Khouma Babacar,Sassuolo,Lecce
Jeison Murillo,Sampdoria,Celta de Vigo
Emiliano Rigoni,Zenit S-Pb,Sampdoria
Nacho Monreal,Arsenal,Real Sociedad
Gary Cahill,Chelsea,Crystal Palace
Vincent Kompany,Man City,RSC Anderlecht
Andy Carroll,West Ham,Newcastle
Álvaro González,Villarreal,Marseille
Eddie Nketiah,Arsenal,Leeds
Benik Afobe,Stoke City,Bristol City
Danny Drinkwater,Chelsea,Burnley
Nacer Chadli,Monaco,RSC Anderlecht
Fraser Forster,Southampton,Celtic
Mohamed Elneny,Arsenal,Besiktas
Simon Kjaer,Sevilla FC,Atalanta BC
Rachid Ghezzal,Leicester,Fiorentina
Strahinja Pavlovic,Monaco,Partizan
Jeroen Zoet,PSV Eindhoven,FC Utrecht
Adama Diakhaby,Huddersfield,Nottm Forest
Callum Robinson,Preston,Sheff Utd
Francesco Caputo,Empoli,Sassuolo
Agustín Marchesín,América,FC Porto
Morato,São Paulo,Benfica B
Mamadou Loum,SC Braga,FC Porto
Pedro Obiang,West Ham,Sassuolo
Tomas Koubek,Rennes,FC Augsburg
George Puscas,Inter,Reading
Javi Ontiveros,Málaga CF,Villarreal
Michael,Goiás,Flamengo
Ivan Ignatjev,Krasnodar,Rubin Kazan
Dawid Kownacki,Sampdoria,F. Düsseldorf
Vitor Hugo,Fiorentina,Palmeiras
Christian Luyindama,Standard Liège,Galatasaray
Gil,SD Luneng,Corinthians
Garry Rodrigues,Al-Ittihad Club,Fenerbahce
Tin Jedvaj,B. Leverkusen,FC Augsburg
Robin Olsen,AS Roma,Cagliari Calcio
Guido Carrillo,Southampton,CD Leganés
Marko Pjaca,Juventus,RSC Anderlecht
Roger Assalé,BSC Young Boys,CD Leganés
Moussa Wagué,Barcelona,OGC Nice
Gustavo Cuéllar,Flamengo,Al-Hilal SFC
Lucas Zelarayán,Tigres UANL,Columbus Crew
Luis Díaz,Junior FC,FC Porto
